year,month,day,humidity,temp,sun,wind
2009,7,31,64,31.4,7.2,3.2
2009,8,1,76,29.7,1.4,2.4
2009,8,2,69,31.8,9.4,2.7
2009,8,3,69,32.7,5.3,3.5
2009,8,4,71,32.7,6.1,3.6
2009,8,5,65,34.1,5.8,3.1
2009,8,6,72,34.2,1.3,2.7
2009,8,7,67,35.4,6.7,2.6
2009,8,8,67,34.8,8.6,2.9
2009,8,9,80,28.4,0,2.8
2009,8,10,76,32.7,1.4,2.9
2009,8,11,73,33.1,3.9,2.1
2009,8,12,77,29.9,1.1,2.4
2009,8,13,80,31.4,0.8,2.8
2009,8,14,65,32.5,11.7,3.2
2009,8,15,79,26.9,0,3.9
2009,8,16,71,31.5,3.1,3.4
2009,8,17,66,32.8,8.7,3
2009,8,18,61,33.5,11.2,3.1
2009,8,19,61,33.4,11.7,3.4
2009,8,20,66,32.2,8.3,3.9
2009,8,21,69,32.5,5.9,4.5
2009,8,22,65,33.2,8.3,3.4
2009,8,23,53,30.1,2.8,3.3
2009,8,24,54,32.9,10.9,4.5
2009,8,25,56,29.9,9.3,3.7
2009,8,26,60,30.4,12,3.8
2009,8,27,66,31.7,10.8,3.9
2009,8,28,72,29.5,0,3.5
2009,8,29,68,32.9,6.3,3.1
2009,8,30,64,31.2,3.3,3.9
2009,8,31,55,31.8,7.6,4.7
2009,9,1,49,33,12.2,4.7
2009,9,2,50,32.9,12,3.3
2009,9,3,66,30.7,2.5,3
2009,9,4,71,32.5,6.5,3.7
2009,9,5,67,32.8,7.6,3.6
2009,9,6,61,32.5,10.1,3.6
2009,9,7,62,32,11.2,4
2009,9,8,53,32.3,7.3,5.3
2009,9,9,56,28.8,6.9,4
2009,9,10,51,30.3,11.9,4.5
2009,9,11,54,29.1,4.4,3.5
2009,9,12,80,21.9,0.4,3.4
2009,9,13,65,28.4,7.4,3.1
2009,9,14,67,27.2,1.8,3.5
2009,9,15,67,26.7,2.8,3.7
2009,9,16,56,29.7,10.6,4.4
2009,9,17,55,28.6,11.1,3.7
2009,9,18,57,29,5.6,4.9
2009,9,19,53,28.7,11.4,6.7
2009,9,20,58,30.1,11.3,3.4
2009,9,21,61,28.6,8.6,3.5
2009,9,22,80,24.9,0,2.3
2009,9,23,72,28.3,1,2.6
2009,9,24,67,30.7,9.4,3.7
2009,9,25,64,30.1,9.9,3.6
2009,9,26,64,30.1,8.7,3
2009,9,27,68,28.9,3.9,2.7
2009,9,28,76,27.2,0.5,2.1
2009,9,29,76,27.1,0,2.2
2009,9,30,84,24.7,0,1.6
2010,5,1,46,21.3,12.5,3.6
2010,5,2,40,21.7,12.5,3.4
