year,month,day,humidity,temp,sun,wind
2009,8,20,71,30.2,9.3,3.6
2009,8,21,74,31.1,2.1,5.5
2009,8,22,76,31.4,3.4,3.3
2009,8,23,64,31.2,4.9,3.2
2009,8,24,70,29.7,3.8,2.9
2009,8,25,63,28.9,6.3,3.5
2009,8,26,63,28,6.9,3.5
2009,8,27,70,29,4.9,2.9
2009,8,28,74,30,11.2,3.6
2009,8,29,68,32.5,10.9,3.9
2009,8,30,86,26.2,0,5.7
2009,8,31,90,20.5,0,7.5
2009,9,1,77,32.1,7.4,3.7
2009,9,2,77,23.6,0,4.7
2009,9,3,73,25.5,0.6,4.1
2009,9,4,73,26.6,2.5,3
2009,9,5,73,29,8.5,3.3
2009,9,6,72,28.2,10.2,4.5
2009,9,7,76,27.9,4.7,3.2
2009,9,8,77,28.1,1.3,3.9
2009,9,9,73,23.5,0.2,3.5
2009,9,10,58,28.8,8,3.5
2009,9,11,51,27.2,3.8,2.3
2009,9,12,81,23.3,0,2.5
2009,9,13,75,27.7,6.1,2.6
2009,9,14,63,27,6,3.5
2009,9,15,80,23.7,0,2.6
2009,9,16,69,27.8,8.9,2.9
2009,9,17,63,26.3,9.4,3.5
2009,9,18,73,23.1,1.1,3.4
2009,9,19,69,23.8,0,4.9
2009,9,20,53,26.9,10.1,4.1
2009,9,21,66,24.1,1,3.2
2009,9,22,64,26.1,2.7,2.9
2009,9,23,62,28.2,4.6,3
2009,9,24,72,27.5,9.2,4.1
2009,9,25,70,28.1,9.1,3.8
2009,9,26,68,27.4,7.3,3.4
2009,9,27,76,25.5,2.1,3.7
2009,9,28,69,27.6,6.1,3.3
2009,9,29,82,24.6,0,2.1
2009,9,30,85,22.1,0,2.8
2010,5,1,51,19.6,12.5,3
2010,5,2,55,20.9,12.3,3.4
2010,5,3,61,23.1,7.4,4.8
2010,5,4,75,21.6,6.5,5.5
2010,5,5,70,23.8,10.3,4.1
2010,5,6,61,27.3,11.1,6.9
2010,5,7,77,23.8,0.2,6.6
2010,5,8,63,23,10.6,4.6
2010,5,9,53,26.9,11,3.8
2010,5,10,64,22.4,3.8,3.3
2010,5,11,84,19.5,0,2.6
2010,5,12,67,21.3,3,2.8
2010,5,13,38,22,10.6,4.9
2010,5,14,63,17.9,2.9,3.4
2010,5,15,55,18.5,8.7,3.8
2010,5,16,64,20.7,8.3,3.2
2010,5,17,66,24.3,12.7,3.3
2010,5,18,58,25.9,11.4,7.4
2010,5,19,75,22.3,1.6,8.2
2010,5,20,88,22.8,0,4.2
2010,5,21,63,29.4,12.8,3.5
